id,address
1,"420151, г. Лесной, ул. Вишневая, 32"
2,"125061, г. Лесной, ул. Подгорная, 8"
3,"630370, г. Лесной, ул. Шоссейная, 24"
4,"400562, г. Лесной, ул. Зеленая, 32"
5,"614510, г. Лесной, ул. Маяковского, 47"
6,"410542, г. Лесной, ул. Светлая, 46"
7,"620839, г. Лесной, ул. Цветочная, 8"
8,"443890, г. Лесной, ул. Коммунистическая, 1"
9,"603379, г. Лесной, ул. Спортивная, 46"
10,"603721, г. Лесной, ул. Гоголя, 41"
11,"410172, г. Лесной, ул. Северная, 13"
12,"614611, г. Лесной, ул. Молодежная, 50"
13,"454311, г.Лесной, ул. Новая, 19"
14,"660007, г.Лесной, ул. Октябрьская, 19"
15,"603036, г. Лесной, ул. Садовая, 4"
16,"394060, г.Лесной, ул. Фрунзе, 43"
17,"410661, г. Лесной, ул. Школьная, 50"
18,"625590, г. Лесной, ул. Коммунистическая, 20"
19,"625683, г. Лесной, ул. 8 Марта"
